order_id,product_name,price,quantity,order_date,customer_id,city,category
ORD044,Nike Air Force 1,749,4,2024-02-13,C044,青岛,服装
ORD045,Adidas NMD,949,5,2024-02-14,C045,大连,服装
ORD046,iPhone 15,7999,3,2024-02-15,C046,厦门市,电子
ORD047,MacBook Pro,14999,1,2024-02-16,C047,福州,电子
ORD048,AirPods Max,4399,2,2024-02-17,C048,南宁,电子
ORD049,Nike ZoomX,1199,3,2024-02-18,C049,贵阳,服装
ORD050,Adidas Yeezy,1699,2,2024-02-19,C050,昆明市,服装
ORD001,iPhone 15,7999,2,2024-01-01,C001,北京,电子
ORD001,AirPods Pro,1899,1,2024-01-01,C001,北京,电子
ORD051,iPhone 15 Pro,9999,1,2024-02-20,C051,南昌,电子
ORD052,MacBook Air,9999,3,2024-02-21,C052,合肥,电子
ORD053,AirPods Pro,1899,4,2024-02-22,C053,石家庄,电子
ORD054,Nike React,849,5,2024-02-23,C054,太原,服装
ORD055,Adidas Continental,649,6,2024-02-24,C055,兰州,服装
ORD056,iPhone 15,7999,2,2024-02-25,C056,沈阳,电子
ORD057,MacBook Pro,14999,1,2024-02-26,C057,长春,电子
ORD058,AirPods Max,4399,1,2024-02-27,C058,哈尔滨,电子
ORD059,Nike Air Jordan,1299,3,2024-02-28,C059,济南,服装
ORD060,Adidas Nite Jogger,1149,2,2024-02-29,C060,郑州,服装
ORD061,iPhone 15,7999,2,2024-03-01,C001,北京,电子
ORD061,MacBook Air,9999,1,2024-03-01,C001,北京,电子
ORD062,iPhone 15,7999,1,2024-03-02,C002,上海,电子
ORD063,AirPods Pro,1899,3,2024-03-03,C003,广州,电子
ORD064,Nike Air Max,899,5,2024-03-04,C004,深圳,服装
ORD065,Adidas Superstar,799,4,2024-03-05,C005,杭州,服装
ORD066,iPhone 15,7999,1,2024-03-06,C006,成都,电子
ORD067,MacBook Pro,14999,2,2024-03-07,C007,武汉,电子
ORD068,AirPods Max,4399,1,2024-03-08,C008,南京,电子
ORD069,Nike Dunk Low,699,6,2024-03-09,C009,西安,服装
ORD070,Adidas Ultraboost,1099,3,2024-03-10,C010,重庆,服装
ORD071,iPhone 15 Pro,9999,2,2024-03-11,C011,天津,电子
ORD072,MacBook Air,9999,1,,苏州,电子
ORD073,AirPods Pro,1899,2,2024-03-13,C013,长沙,电子
ORD074,Nike Air Force 1,749,4,2024-03-14,C014,青岛,服装
ORD075,Adidas NMD,949,5,2024-03-15,C015,大连,服装
ORD076,iPhone 15,7999,3,2024-03-16,C016,厦门,电子
ORD077,MacBook Pro,14999,1,2024-03-17,C017,福州,电子
ORD078,AirPods Max,4399,2,2024-03-18,C018,南宁,电子
ORD079,Nike ZoomX,1199,3,2024-03-19,C019,贵阳,服装
ORD080,Adidas Yeezy,1699,2,2024-03-20,C020,昆明,服装
